"","x"
"1","The ""Most Anticipated Indian Movies and Shows"" widget tracks the real-time popularity of relevant pages on IMDb, and displays those that are currently generating the highest number of pageviews on IMDb."
"2","Each title is ranked according to its share of pageviews among the items displayed. Pageviews for each item are divided by the aggregate number of pageviews generated by the items displayed."
"3","""The Mandalorian,"" ""Gravity Falls,"" and Free Solo top our list of the best Disney+ recs to add to your Watchlist."
"4"," See our picks"
"5","Related lists from IMDb users"
"6","Search for ""Kaithi"" on Amazon.in"
"7","
                Title:
                Khaidi
                (2019)
            "
"8","Want to share IMDb's rating on your own site? Use the HTML below."
"9","
                        You must be a registered user to use the IMDb rating plugin.
                        "
"10"," See what's trending now"
"11","
    The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.    "
"12","
    A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.    "
"13","
    Theeran, a police officer, tries to decode a series of cold blood events based on same pattern.    "
"14","
    Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.    "
"15","
    Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.    "
"16","
    Constant rejections in his attempts to become a filmmaker and family constraints force Arun to let go of his dream and take up the job of a Police officer.    "
"17","
    A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.    "
"18","
    A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.    "
"19","
    Two high school sweethearts meet at a reunion after 22 years and reminisce about their past over the course of an evening.    "
"20","
    An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.    "
"21","
    Four labourers are tortured by the police to confess to a theft they have not committed.    "
"22","
    An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.    "
"23","
                    On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.
            "
"24","Exceptional story telling with some good camera works and music pretty much sums up kaithi"
"25","Check out the Indian movies with the highest ratings from IMDb users, as well as the movies that are trending in real time."
"26","© 1990-2020 by IMDb.com, Inc."
"27","The ""Most Anticipated Indian Movies and Shows"" widget tracks the real-time popularity of relevant pages on IMDb, and displays those that are currently generating the highest number of pageviews on IMDb."
"28","Each title is ranked according to its share of pageviews among the items displayed. Pageviews for each item are divided by the aggregate number of pageviews generated by the items displayed."
"29","""Outer Banks"" star Madelyn Cline answers our five burning questions about her favorite film genre, her TV crush, and more."
"30"," Watch now"
"31","Related lists from IMDb users"
"32","Search for ""Kaithi"" on Amazon.in"
"33","
                Title:
                Khaidi
                (2019)
            "
"34","Want to share IMDb's rating on your own site? Use the HTML below."
"35","
                        You must be a registered user to use the IMDb rating plugin.
                        "
"36"," See what's trending now"
"37","
    The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.    "
"38","
    A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.    "
"39","
    Theeran, a police officer, tries to decode a series of cold blood events based on same pattern.    "
"40","
    Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.    "
"41","
    Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.    "
"42","
    Constant rejections in his attempts to become a filmmaker and family constraints force Arun to let go of his dream and take up the job of a Police officer.    "
"43","
    A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.    "
"44","
    A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.    "
"45","
    Two high school sweethearts meet at a reunion after 22 years and reminisce about their past over the course of an evening.    "
"46","
    An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.    "
"47","
    Four labourers are tortured by the police to confess to a theft they have not committed.    "
"48","
    An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.    "
"49","
                    On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.
            "
"50","Exceptional story telling with some good camera works and music pretty much sums up kaithi"
"51","Check out the Indian movies with the highest ratings from IMDb users, as well as the movies that are trending in real time."
"52","© 1990-2020 by IMDb.com, Inc."
"53","The ""Most Anticipated Indian Movies and Shows"" widget tracks the real-time popularity of relevant pages on IMDb, and displays those that are currently generating the highest number of pageviews on IMDb."
"54","Each title is ranked according to its share of pageviews among the items displayed. Pageviews for each item are divided by the aggregate number of pageviews generated by the items displayed."
"55","We're watching ""Tiger King"" on Netflix for sure. Our recommendations also include ""Night on Earth"", ""Ozark,"" and more."
"56"," See our picks"
"57","Related lists from IMDb users"
"58","Search for ""Kaithi"" on Amazon.in"
"59","
                Title:
                Khaidi
                (2019)
            "
"60","Want to share IMDb's rating on your own site? Use the HTML below."
"61","
                        You must be a registered user to use the IMDb rating plugin.
                        "
"62","See the top 50 Tamil movies as rated by IMDb users – from evergreen hits to recent chartbusters."
"63"," See more"
"64","
    The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.    "
"65","
    A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.    "
"66","
    Theeran, a police officer, tries to decode a series of cold blood events based on same pattern.    "
"67","
    Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.    "
"68","
    Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.    "
"69","
    Constant rejections in his attempts to become a filmmaker and family constraints force Arun to let go of his dream and take up the job of a Police officer.    "
"70","
    A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.    "
"71","
    A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.    "
"72","
    Two high school sweethearts meet at a reunion after 22 years and reminisce about their past over the course of an evening.    "
"73","
    An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.    "
"74","
    Four labourers are tortured by the police to confess to a theft they have not committed.    "
"75","
    An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.    "
"76","
                    On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.
            "
"77","Exceptional story telling with some good camera works and music pretty much sums up kaithi"
"78","Check out the Indian movies with the highest ratings from IMDb users, as well as the movies that are trending in real time."
"79","© 1990-2020 by IMDb.com, Inc."
"80","The ""Most Anticipated Indian Movies and Shows"" widget tracks the real-time popularity of relevant pages on IMDb, and displays those that are currently generating the highest number of pageviews on IMDb."
"81","Each title is ranked according to its share of pageviews among the items displayed. Pageviews for each item are divided by the aggregate number of pageviews generated by the items displayed."
"82","Ross Lynch fires pucks all over the place as he teaches Jay how to be a hockey goalie in the ""Special Skills"" season finale."
"83"," Watch the video"
"84","Related lists from IMDb users"
"85","Search for ""Kaithi"" on Amazon.in"
"86","
                Title:
                Khaidi
                (2019)
            "
"87","Want to share IMDb's rating on your own site? Use the HTML below."
"88","
                        You must be a registered user to use the IMDb rating plugin.
                        "
"89"," See what's trending now"
"90","
    The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.    "
"91","
    A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.    "
"92","
    Theeran, a police officer, tries to decode a series of cold blood events based on same pattern.    "
"93","
    Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.    "
"94","
    Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.    "
"95","
    Constant rejections in his attempts to become a filmmaker and family constraints force Arun to let go of his dream and take up the job of a Police officer.    "
"96","
    A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.    "
"97","
    A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.    "
"98","
    Two high school sweethearts meet at a reunion after 22 years and reminisce about their past over the course of an evening.    "
"99","
    An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.    "
"100","
    Four labourers are tortured by the police to confess to a theft they have not committed.    "
"101","
    An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.    "
"102","
                    On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.
            "
"103","Exceptional story telling with some good camera works and music pretty much sums up kaithi"
"104","Check out the Indian movies with the highest ratings from IMDb users, as well as the movies that are trending in real time."
"105","© 1990-2020 by IMDb.com, Inc."
"106","The ""Most Anticipated Indian Movies and Shows"" widget tracks the real-time popularity of relevant pages on IMDb, and displays those that are currently generating the highest number of pageviews on IMDb."
"107","Each title is ranked according to its share of pageviews among the items displayed. Pageviews for each item are divided by the aggregate number of pageviews generated by the items displayed."
"108","Ross Lynch fires pucks all over the place as he teaches Jay how to be a hockey goalie in the ""Special Skills"" season finale."
"109"," Watch the video"
"110","Related lists from IMDb users"
"111","Search for ""Kaithi"" on Amazon.in"
"112","
                Title:
                Khaidi
                (2019)
            "
"113","Want to share IMDb's rating on your own site? Use the HTML below."
"114","
                        You must be a registered user to use the IMDb rating plugin.
                        "
"115"," See what's trending now"
"116","
    The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.    "
"117","
    A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.    "
"118","
    Theeran, a police officer, tries to decode a series of cold blood events based on same pattern.    "
"119","
    Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.    "
"120","
    Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.    "
"121","
    Constant rejections in his attempts to become a filmmaker and family constraints force Arun to let go of his dream and take up the job of a Police officer.    "
"122","
    A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.    "
"123","
    A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.    "
"124","
    Two high school sweethearts meet at a reunion after 22 years and reminisce about their past over the course of an evening.    "
"125","
    An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.    "
"126","
    Four labourers are tortured by the police to confess to a theft they have not committed.    "
"127","
    An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.    "
"128","
                    On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.
            "
"129","Exceptional story telling with some good camera works and music pretty much sums up kaithi"
"130","Check out the Indian movies with the highest ratings from IMDb users, as well as the movies that are trending in real time."
"131","© 1990-2020 by IMDb.com, Inc."
"132","The ""Most Anticipated Indian Movies and Shows"" widget tracks the real-time popularity of relevant pages on IMDb, and displays those that are currently generating the highest number of pageviews on IMDb."
"133","Each title is ranked according to its share of pageviews among the items displayed. Pageviews for each item are divided by the aggregate number of pageviews generated by the items displayed."
"134","We're watching ""Tiger King"" on Netflix for sure. Our recommendations also include ""Night on Earth"", ""Ozark,"" and more."
"135"," See our picks"
"136","Related lists from IMDb users"
"137","Search for ""Kaithi"" on Amazon.in"
"138","
                Title:
                Khaidi
                (2019)
            "
"139","Want to share IMDb's rating on your own site? Use the HTML below."
"140","
                        You must be a registered user to use the IMDb rating plugin.
                        "
"141"," See what's trending now"
"142","
    The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.    "
"143","
    A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.    "
"144","
    Theeran, a police officer, tries to decode a series of cold blood events based on same pattern.    "
"145","
    Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.    "
"146","
    Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.    "
"147","
    Constant rejections in his attempts to become a filmmaker and family constraints force Arun to let go of his dream and take up the job of a Police officer.    "
"148","
    A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.    "
"149","
    A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.    "
"150","
    Two high school sweethearts meet at a reunion after 22 years and reminisce about their past over the course of an evening.    "
"151","
    An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.    "
"152","
    Four labourers are tortured by the police to confess to a theft they have not committed.    "
"153","
    An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.    "
"154","
                    On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.
            "
"155","Exceptional story telling with some good camera works and music pretty much sums up kaithi"
"156","Check out the Indian movies with the highest ratings from IMDb users, as well as the movies that are trending in real time."
"157","© 1990-2020 by IMDb.com, Inc."
"158","The ""Most Anticipated Indian Movies and Shows"" widget tracks the real-time popularity of relevant pages on IMDb, and displays those that are currently generating the highest number of pageviews on IMDb."
"159","Each title is ranked according to its share of pageviews among the items displayed. Pageviews for each item are divided by the aggregate number of pageviews generated by the items displayed."
"160","Ross Lynch fires pucks all over the place as he teaches Jay how to be a hockey goalie in the ""Special Skills"" season finale."
"161"," Watch the video"
"162","Related lists from IMDb users"
"163","Search for ""Kaithi"" on Amazon.in"
"164","
                Title:
                Khaidi
                (2019)
            "
"165","Want to share IMDb's rating on your own site? Use the HTML below."
"166","
                        You must be a registered user to use the IMDb rating plugin.
                        "
"167"," See what's trending now"
"168","
    The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story.    "
"169","
    A young carrom player in north Chennai becomes a reluctant participant in a war between two warring gangsters.    "
"170","
    Theeran, a police officer, tries to decode a series of cold blood events based on same pattern.    "
"171","
    Siddharth Abimanyu, an influential scientist, is involved in various illegal medical practices. Mithran, an efficient IPS officer, decides to expose him.    "
"172","
    Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.    "
"173","
    Constant rejections in his attempts to become a filmmaker and family constraints force Arun to let go of his dream and take up the job of a Police officer.    "
"174","
    A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.    "
"175","
    A police officer retires after an accident during a case investigation. Years later, he is forced to relive the past as he narrates the story to his friend's son.    "
"176","
    Two high school sweethearts meet at a reunion after 22 years and reminisce about their past over the course of an evening.    "
"177","
    An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one fateful day.    "
"178","
    Four labourers are tortured by the police to confess to a theft they have not committed.    "
"179","
    An aspiring director targets a ruthless gangster because he wants to make a violent gangster film. His discreet attempts to research the gangster fail miserably. Finally when he gets caught snooping, things hit the fan.    "
"180","
                    On a night where the entire police officers got into an immovable situation, a paroled convict is forced to help the police, so that he can see his daughter for the first time in life. How he helps the department forms the story of this action packed entertainer.
            "
"181","Exceptional story telling with some good camera works and music pretty much sums up kaithi"
"182","Check out the Indian movies with the highest ratings from IMDb users, as well as the movies that are trending in real time."
"183","© 1990-2020 by IMDb.com, Inc."
